Date,Region,Energy_Consumption_MWh,Renewable_Energy_Production_MWh,CO2_Emissions_tonnes,Air_Quality_Index,Temperature_C,Wind_Speed_mps,Solar_Radiation_Wm2,Population
2048-06-21,Region_B,486.68,166.04,44.73,290,5.2,1.43,416.5,326073
2032-11-05,Region_B,283.76,228.77,37.41,181,-0.3,6.05,262.05,888621
2025-04-07,Region_B,454.86,288.3,44.6,87,20.9,2.38,301.01,341544
2025-01-24,Region_C,230.77,219.72,95.13,265,-8.3,12.49,777.95,95452
2035-04-21,Region_D,121.56,61.09,174.34,291,19.4,11.11,637.7,76552
2032-11-18,Region_B,192.04,36.61,122.15,262,6.2,6.33,794.41,290120
2027-03-16,Region_D,453.45,201.6,113.15,28,-0.3,6.81,374.41,971866
2024-09-09,Region_A,136.45,133.76,141.7,405,7.6,3.0,882.23,74918
2039-01-20,Region_A,221.32,268.9,45.03,278,31.6,0.96,276.48,313033
2047-12-08,Region_D,386.75,113.76,59.27,423,-8.8,9.03,198.38,371490
2024-09-21,Region_C,107.38,197.88,94.11,218,38.3,11.15,982.67,893117
2045-04-06,Region_C,498.83,290.79,67.8,112,-9.9,13.58,672.8,729565
2046-11-16,Region_C,352.83,143.67,89.29,389,37.7,11.54,862.67,666428
2045-02-06,Region_B,418.31,137.85,186.44,10,-0.9,9.33,417.99,769782
2036-12-17,Region_D,238.96,60.76,51.13,435,39.7,3.71,93.37,456530
2040-09-01,Region_B,491.56,239.36,122.98,273,7.9,7.22,963.08,58396
2044-01-04,Region_A,61.25,20.3,153.48,287,-4.3,14.55,742.68,948371
2047-12-17,Region_A,303.81,82.35,186.63,74,21.8,3.53,712.4,479109
2043-07-03,Region_C,133.13,180.05,107.38,339,-9.9,14.56,629.71,177011
2023-04-17,Region_C,172.86,61.94,133.71,310,36.2,12.15,757.25,841917
2027-10-15,Region_C,485.26,63.73,173.93,275,26.6,7.76,986.78,734037
2048-02-22,Region_B,193.24,232.02,108.25,91,8.7,9.83,261.94,490172
2041-09-26,Region_A,173.85,164.99,141.73,492,25.8,10.05,915.77,313249
2046-08-16,Region_A,259.99,95.05,58.88,306,-4.7,9.81,958.49,262778
2030-04-22,Region_A,396.54,10.95,147.33,10,13.0,13.83,945.81,956938
2042-06-21,Region_D,342.84,11.37,181.32,134,30.4,6.87,498.51,591822
2033-05-28,Region_A,460.52,76.03,62.27,365,9.6,0.84,862.83,263073
2041-09-09,Region_C,117.02,67.89,137.34,338,6.3,7.27,335.39,847821
2024-06-26,Region_A,89.17,297.47,117.44,408,2.0,13.01,712.44,803765
2031-02-27,Region_D,226.08,78.84,135.69,167,30.3,4.07,833.59,194834
2039-01-17,Region_A,462.42,270.71,49.83,273,22.8,9.09,398.93,407247
2035-02-14,Region_C,141.39,48.16,191.52,67,34.9,1.3,152.2,388086
2028-10-25,Region_B,384.34,147.19,194.02,413,3.8,5.79,12.5,315982
2036-11-30,Region_B,273.95,86.52,76.97,240,20.7,5.75,494.3,457239
2027-05-01,Region_C,65.66,174.04,160.1,316,-8.9,7.04,822.19,890681
2040-05-11,Region_D,186.53,251.04,43.2,36,26.6,13.0,232.3,833806
2039-10-09,Region_C,454.95,293.79,89.46,68,12.2,9.49,924.78,535626
2026-01-02,Region_D,236.43,83.21,129.78,42,-6.1,2.6,611.9,857234
2034-02-28,Region_A,188.37,87.3,100.47,353,27.9,8.64,464.14,853698
2047-04-20,Region_A,245.45,49.71,55.2,120,35.5,8.94,542.4,782252
2041-11-02,Region_D,59.88,281.39,175.06,366,-7.4,8.89,998.61,280686
2040-03-03,Region_C,419.38,95.26,144.36,394,32.2,4.9,659.71,228966
2038-09-27,Region_C,278.67,142.31,147.91,267,0.5,14.27,265.64,869748
2034-11-23,Region_D,298.58,114.09,37.57,345,-3.2,13.42,451.08,455963
2029-05-31,Region_A,429.52,275.17,111.99,285,33.5,11.54,945.58,299943
2039-09-15,Region_C,78.03,290.15,48.21,32,15.1,12.66,828.54,350022
2037-08-01,Region_A,228.45,217.16,64.1,57,0.9,3.0,119.02,936693
2049-04-07,Region_A,451.52,129.28,175.35,426,0.5,9.08,429.19,677236
2024-08-26,Region_B,356.22,132.12,43.98,401,35.5,5.24,842.31,319815
2042-04-10,Region_A,400.81,29.78,60.03,59,9.8,8.93,814.61,922529
2041-08-11,Region_B,291.22,91.97,189.91,75,31.2,7.55,371.51,773023
2026-09-03,Region_D,497.97,112.1,23.33,319,14.7,4.67,680.8,827120
2026-07-09,Region_A,162.54,50.78,97.05,48,-1.8,7.0,707.6,89986
2031-04-08,Region_A,161.37,288.28,122.69,175,26.8,12.53,978.48,130148
2046-03-03,Region_B,344.49,151.14,137.29,230,13.1,7.38,116.49,85618
2032-09-13,Region_B,481.16,192.03,115.77,439,8.1,2.47,179.95,982568
2047-10-02,Region_A,133.86,124.53,143.48,71,-5.2,13.69,769.32,459703
2038-12-29,Region_D,305.2,200.51,198.18,403,-2.2,4.44,878.69,557446
2027-03-31,Region_C,356.35,160.95,139.76,222,27.8,14.35,500.28,199469
2048-12-17,Region_C,166.25,89.34,182.78,222,1.7,13.43,412.67,399913
2027-05-10,Region_C,56.6,266.37,183.11,449,-8.9,1.65,343.3,50526
2023-09-10,Region_B,148.88,234.43,79.41,118,6.6,12.79,867.72,526775
2024-07-20,Region_A,133.45,237.62,126.95,306,30.5,10.1,736.44,42197
2044-06-25,Region_B,360.34,40.0,140.15,219,23.8,9.06,118.23,170834
2044-02-17,Region_A,96.02,47.98,146.15,39,25.4,10.32,192.65,609276
2030-01-29,Region_A,181.13,243.36,168.4,71,23.5,13.16,915.63,599855
2030-10-18,Region_D,313.03,96.47,76.32,234,-7.1,0.26,987.6,947902
2033-12-12,Region_B,88.4,38.43,108.82,398,0.7,9.72,287.97,37139
2039-09-19,Region_C,63.69,28.97,110.18,485,26.0,11.63,109.0,608981
2036-09-19,Region_C,384.35,101.44,189.83,269,12.4,2.07,611.99,774541
2027-08-19,Region_D,335.11,168.61,164.99,216,24.6,14.19,19.45,895917
2041-03-15,Region_D,444.19,166.11,51.47,283,31.7,2.7,652.17,314819
2031-11-01,Region_D,139.54,231.83,85.02,383,36.4,10.32,805.41,709646
2037-12-20,Region_D,217.39,115.64,148.77,92,22.7,0.88,315.52,773760
2047-06-16,Region_A,331.1,38.75,30.18,109,4.1,8.65,738.83,789562
2025-05-07,Region_C,275.98,227.45,71.75,482,21.1,4.25,113.13,839494
2032-07-02,Region_A,412.65,287.3,95.81,241,22.2,5.82,387.84,878956
2034-10-25,Region_B,386.22,158.33,44.91,157,9.2,2.23,786.62,35284
2032-04-04,Region_B,299.12,168.16,72.04,207,39.2,13.21,536.24,868259
2039-09-26,Region_B,229.87,87.43,70.06,65,6.5,2.53,892.38,888009
2035-03-12,Region_C,143.21,227.27,178.92,346,18.8,7.98,465.29,19991
2024-06-18,Region_A,367.82,61.47,81.13,332,23.8,3.72,20.8,144092
2032-12-19,Region_A,445.96,167.9,99.11,473,15.6,11.64,501.79,892584
2024-12-17,Region_C,155.2,261.74,186.4,117,34.1,10.34,852.82,727445
2043-08-01,Region_D,243.96,159.18,117.71,202,31.6,13.21,673.85,144957
2047-01-25,Region_D,316.95,220.96,58.06,36,20.9,0.71,105.85,582031
2047-09-29,Region_B,121.11,247.65,47.75,283,-2.8,9.35,53.76,127242
2038-02-11,Region_D,273.42,30.86,181.1,488,-8.7,9.36,256.6,951361
2029-06-23,Region_A,245.67,134.41,191.89,283,16.4,4.53,831.67,718495
2035-07-08,Region_D,85.75,151.9,148.38,12,5.1,5.98,349.84,383529
2043-02-28,Region_C,304.7,138.16,113.95,40,3.1,7.99,55.63,359816
2049-04-30,Region_A,228.55,218.37,65.4,153,23.6,10.86,58.55,894613
2044-08-02,Region_C,251.82,242.47,107.45,340,-2.7,0.43,496.59,929393
2027-12-03,Region_A,440.98,44.46,172.1,410,-2.2,5.99,497.93,756277
2040-08-18,Region_A,364.89,41.2,118.01,354,39.0,9.34,662.54,796461
2035-09-04,Region_C,498.54,204.73,31.98,38,-4.8,10.02,5.6,476800
2026-05-12,Region_B,123.12,19.34,72.82,460,5.7,8.91,267.41,271375
2032-06-19,Region_B,129.7,239.75,164.1,417,12.7,3.8,762.67,84507
2029-08-12,Region_C,452.21,33.08,130.6,390,3.2,3.19,434.89,10730
2027-02-24,Region_A,384.36,154.11,181.57,227,34.7,11.97,420.49,577957
2041-07-31,Region_C,71.54,262.48,180.89,498,10.9,6.6,317.4,40920
2024-07-16,Region_A,248.78,205.85,80.53,333,26.4,1.01,639.24,890212
2038-12-09,Region_B,253.25,11.22,195.15,21,27.5,2.94,844.15,265684
2042-06-11,Region_A,392.16,52.29,197.89,112,-4.6,7.25,458.37,644889
2030-01-26,Region_C,420.4,210.82,29.44,68,8.0,10.29,367.52,593024
2026-10-14,Region_B,354.94,296.07,63.93,33,-8.3,13.72,794.86,47863
2029-06-24,Region_D,69.16,228.5,52.57,279,24.4,14.18,351.37,271169
2045-11-11,Region_A,164.08,201.19,110.21,365,34.0,14.12,17.34,922425
2032-07-31,Region_D,453.11,281.8,79.98,304,4.2,12.0,224.19,679884
2036-01-19,Region_B,343.81,182.0,163.01,10,16.9,6.88,319.67,465776
2042-12-17,Region_B,113.12,240.45,21.71,40,7.2,5.55,257.42,754116
2035-04-14,Region_C,404.14,10.96,99.45,400,20.3,10.8,826.26,927689
2028-02-09,Region_C,150.47,125.6,144.04,59,-5.3,10.34,858.97,672911
2030-08-07,Region_A,476.28,286.95,149.53,387,-3.7,11.31,471.2,71676
2040-04-13,Region_D,158.07,76.96,22.87,7,28.9,1.65,430.09,50767
2039-11-13,Region_B,429.02,98.56,49.84,313,36.0,11.52,715.89,808059
2035-02-20,Region_A,182.8,77.78,136.16,409,38.3,1.8,367.58,626314
2041-09-08,Region_C,143.55,118.08,45.27,33,14.8,0.18,125.61,950038
2026-07-09,Region_C,310.41,122.84,24.04,131,-4.2,9.31,301.9,618827
2032-05-29,Region_C,357.95,229.08,44.58,242,19.5,13.47,991.27,25744
2029-03-27,Region_B,52.83,26.35,181.91,73,-8.1,1.2,68.85,81516
2048-08-18,Region_C,267.48,207.06,169.07,375,1.2,9.66,151.71,599389
2026-10-06,Region_C,141.13,62.72,79.26,238,17.7,1.06,406.08,527606
2034-05-09,Region_A,61.26,68.16,92.57,158,20.6,13.22,407.93,261652
2046-05-05,Region_D,428.59,108.74,137.5,376,20.1,14.18,511.07,271573
2035-07-14,Region_D,91.41,116.15,48.97,383,36.7,13.65,91.81,431664
2044-10-05,Region_D,164.51,235.52,69.68,116,28.4,14.67,611.41,148943
2034-06-22,Region_C,78.83,104.69,80.0,93,36.9,0.17,59.91,69898
2038-09-02,Region_C,226.09,269.04,194.05,232,8.1,3.12,644.46,506465
2030-12-20,Region_B,76.4,29.81,192.33,257,9.6,7.86,875.7,902116
2028-09-16,Region_D,430.84,179.26,129.59,312,21.7,6.7,749.36,327597
2027-02-27,Region_C,204.66,165.38,78.09,40,20.9,2.88,473.14,970551
2047-02-01,Region_D,116.29,33.23,186.8,292,27.7,10.91,845.53,195931
2046-06-27,Region_A,281.89,274.11,186.41,213,-8.9,9.8,121.55,826877
2025-09-16,Region_A,333.33,62.69,125.07,119,-6.6,0.56,196.47,892520
2026-08-30,Region_A,155.28,264.3,28.87,69,10.3,7.45,865.32,562841
2043-02-12,Region_B,301.09,25.93,193.32,496,15.8,1.28,579.11,478978
2024-10-14,Region_D,69.25,270.08,119.09,368,9.4,8.39,624.52,315643
2039-04-28,Region_C,471.09,123.16,21.43,65,6.6,1.7,574.78,417435
2036-09-21,Region_C,370.91,150.79,131.84,210,-5.3,12.08,728.42,42295
2040-06-02,Region_D,104.56,205.04,88.27,312,31.7,10.76,476.9,117932
2045-10-24,Region_A,72.66,270.99,131.8,114,8.2,7.77,336.95,649059
2045-03-24,Region_D,61.63,128.55,44.65,171,10.5,10.22,125.16,754686
2044-04-22,Region_C,420.85,17.03,87.84,275,-4.5,6.4,129.64,476693
2032-04-18,Region_D,462.79,117.21,101.6,471,12.6,2.45,683.86,830081
2037-07-07,Region_A,361.67,231.12,150.23,118,-6.0,2.05,448.06,519869
2029-04-26,Region_C,155.08,54.16,118.49,242,-7.8,10.59,719.46,855081
2029-11-17,Region_A,209.67,281.32,135.02,494,12.8,1.98,850.67,786324
2030-02-12,Region_C,345.03,130.21,89.33,209,-0.4,0.87,769.58,89875
2025-03-14,Region_A,143.22,244.14,30.46,274,21.6,6.74,855.15,209289
2041-12-21,Region_D,280.89,58.0,147.06,187,5.2,11.69,245.88,168691
2030-08-25,Region_C,160.19,106.08,115.9,104,3.9,14.7,410.41,127946
2038-05-22,Region_C,499.75,16.27,160.13,400,-5.2,9.69,879.66,940112
2034-04-28,Region_D,403.33,16.39,155.46,119,27.6,9.73,140.33,52959
2049-06-09,Region_D,155.72,147.95,164.5,298,-1.4,14.16,718.76,40443
2049-01-06,Region_A,408.16,249.07,94.23,417,-8.0,4.82,490.54,158487
2035-02-26,Region_D,120.47,281.15,26.85,103,26.0,14.99,977.69,745624
2038-07-01,Region_B,91.68,289.95,80.39,432,30.8,7.79,8.71,999682
2031-09-20,Region_C,135.63,207.98,65.38,245,-3.7,5.0,916.17,238905
2045-01-05,Region_C,133.36,135.17,93.61,437,-0.9,13.96,595.69,213480
2029-08-29,Region_A,140.23,95.69,172.32,24,31.9,5.59,308.35,860374
2049-06-15,Region_A,217.25,37.88,182.07,26,22.6,13.81,225.33,937413
2037-03-28,Region_B,165.03,149.29,88.28,257,39.6,11.33,731.72,813017
2028-11-15,Region_C,249.81,104.61,153.83,106,19.9,14.8,262.24,371554
2031-04-03,Region_B,69.77,217.84,87.86,384,5.4,8.75,757.49,591195
2039-09-02,Region_B,276.73,259.6,82.74,495,9.2,0.7,968.75,852059
2033-02-23,Region_A,121.68,93.64,178.15,145,37.6,13.41,539.6,246783
2040-02-17,Region_C,123.69,171.66,185.25,130,38.7,10.78,71.43,269585
2046-04-06,Region_B,360.5,209.03,106.81,14,32.4,10.96,673.69,774675
2028-09-19,Region_D,404.01,38.29,61.57,39,3.8,11.92,821.58,494378
2045-03-22,Region_D,253.88,86.58,52.07,199,18.7,14.1,798.86,883708
2043-01-08,Region_D,497.25,145.85,199.39,260,12.1,6.84,436.54,34514
2038-10-26,Region_B,379.28,20.65,74.21,220,33.3,10.6,640.9,34923
2032-05-25,Region_C,61.37,204.02,61.21,487,31.2,13.48,443.66,391996
2045-06-29,Region_B,207.81,257.86,35.3,414,30.7,13.96,632.08,407025
2042-08-27,Region_C,323.38,227.51,72.41,8,32.8,10.47,688.15,448619
2023-07-31,Region_C,302.32,167.4,132.23,197,5.7,11.1,860.72,36142
2046-06-03,Region_A,89.14,109.82,131.5,177,25.5,10.01,374.48,277290
2031-04-18,Region_A,263.7,128.92,199.31,218,0.3,0.62,481.67,522016
2043-08-22,Region_B,91.61,44.46,153.51,213,23.0,1.69,708.92,228396
2040-09-17,Region_B,178.51,244.12,61.85,116,-5.6,14.17,578.88,685434
2039-11-13,Region_A,432.42,55.76,43.61,496,38.5,7.68,646.66,847848
2036-04-01,Region_D,191.69,236.57,148.93,397,-8.0,14.88,903.26,836138
2030-12-14,Region_D,489.31,160.47,58.25,189,-8.0,8.83,144.82,282773
2030-05-27,Region_B,151.95,215.55,140.32,265,37.6,1.33,706.94,53052
2025-02-25,Region_D,319.22,126.55,94.81,64,2.5,13.96,761.18,735182
2040-03-27,Region_A,273.83,230.79,91.11,295,26.2,14.42,761.15,531410
2033-12-26,Region_B,67.59,291.07,33.15,281,28.7,7.46,183.56,196781
2037-01-25,Region_A,397.21,296.14,105.12,115,26.5,2.31,113.45,92586
2025-03-14,Region_C,219.38,92.44,127.75,276,3.9,8.67,507.46,475580
2034-01-31,Region_B,118.09,84.11,159.77,287,13.0,10.61,631.29,469561
2024-07-26,Region_B,477.86,200.61,171.36,475,27.2,10.83,133.45,121583
2035-05-08,Region_D,388.8,202.81,20.1,302,22.8,4.55,10.06,405194
2032-09-07,Region_A,101.21,190.76,46.87,468,1.3,13.7,766.1,962468
2048-05-15,Region_D,127.36,49.84,85.03,21,6.9,10.18,835.37,125201
2028-03-24,Region_B,431.05,247.69,157.44,374,-3.5,4.43,510.08,54813
2023-04-05,Region_D,345.08,270.07,46.68,334,1.4,14.3,493.65,551393
2036-02-25,Region_B,391.6,240.4,184.85,315,-6.5,12.89,803.72,967070
2030-04-06,Region_A,109.1,215.65,166.0,315,27.5,8.48,655.14,850612
2025-11-16,Region_D,378.3,60.86,99.7,4,12.4,11.43,170.73,849947
2048-03-29,Region_B,231.11,228.48,39.88,117,-0.8,9.58,318.97,962264
2025-07-10,Region_D,148.34,199.97,29.25,403,3.9,9.73,857.83,218893
2045-09-05,Region_A,277.71,184.02,122.04,437,16.0,3.69,622.17,351352
2026-10-24,Region_D,455.96,200.49,114.49,177,2.9,2.04,470.84,238578
2048-02-07,Region_C,138.21,285.01,190.88,413,27.7,1.48,261.67,159702
2032-05-04,Region_D,499.13,151.33,55.09,347,33.0,7.33,586.18,265362
2036-04-23,Region_D,190.35,246.34,196.7,55,22.6,1.42,797.24,606244
2038-05-22,Region_D,264.89,160.62,139.87,98,11.2,11.59,737.38,627122
2033-02-13,Region_D,267.57,134.04,158.91,400,28.5,5.2,750.64,154279
2033-11-07,Region_A,420.85,143.44,56.76,2,9.4,7.09,934.19,888810
2027-05-28,Region_C,56.48,71.29,148.34,432,13.4,1.59,620.81,612159
2037-05-02,Region_A,147.72,88.11,195.36,209,29.1,9.97,563.55,920320
2024-02-28,Region_C,488.03,248.62,86.65,212,-8.5,13.3,268.86,736909
2041-07-24,Region_C,110.44,189.82,190.53,203,37.5,2.14,116.74,244096
2036-09-22,Region_D,283.03,51.22,62.6,57,35.3,6.49,960.02,701507
2034-03-03,Region_D,160.39,54.1,123.54,110,-0.1,8.83,159.93,39099
2031-08-26,Region_A,163.98,216.73,102.29,133,22.8,8.14,641.76,122699
2028-07-14,Region_C,117.89,98.65,80.97,6,19.2,13.5,108.58,56873
2036-12-01,Region_C,233.97,250.23,147.36,239,30.8,2.83,163.98,377842
2032-01-03,Region_A,203.72,82.28,116.96,157,-4.8,2.71,65.99,711968
2043-11-18,Region_C,399.93,269.94,26.96,391,28.1,2.39,563.4,905703
2045-06-22,Region_A,332.12,284.21,94.23,220,-5.4,8.26,169.59,745909
2043-12-07,Region_B,352.59,293.77,96.11,421,5.5,14.58,336.96,699997
2043-09-15,Region_A,364.01,186.22,122.45,473,7.6,1.97,949.67,707045
2035-02-22,Region_D,386.28,290.42,192.98,456,6.3,0.55,126.47,942208
2036-04-11,Region_B,160.97,35.41,102.08,285,10.3,12.47,323.31,71139
2047-09-14,Region_B,349.28,266.18,53.96,418,-7.4,1.39,52.14,67210
2036-02-09,Region_C,86.53,38.18,124.83,77,25.6,10.3,276.92,584553
2025-06-30,Region_B,442.85,165.88,181.05,190,38.3,1.9,419.5,960797
2023-02-06,Region_D,425.95,131.53,80.95,319,23.7,12.77,180.12,491772
2040-01-04,Region_C,434.89,14.6,151.55,339,32.3,7.4,385.37,83840
2035-07-17,Region_C,155.62,276.24,82.28,420,21.9,4.91,718.77,420838
2032-10-04,Region_A,493.4,13.64,50.35,363,36.1,8.24,341.68,144325
2044-07-26,Region_B,319.02,257.69,189.27,391,-3.4,12.24,513.33,641134
2027-09-16,Region_C,171.39,225.79,75.34,14,-1.8,12.65,193.47,712714
2036-12-23,Region_A,88.78,151.17,180.92,128,30.4,12.62,276.48,634650
2048-11-16,Region_A,339.57,122.49,134.8,248,-3.6,8.78,665.66,270127
2023-04-03,Region_C,396.83,208.72,130.56,484,34.0,1.55,521.51,343796
2024-08-05,Region_A,252.95,213.22,27.07,494,36.2,4.24,491.17,482091
2048-04-09,Region_C,133.57,256.82,132.39,29,24.6,8.7,211.0,956650
2031-08-30,Region_D,314.29,167.8,174.6,224,11.1,6.94,333.35,17283
2024-04-30,Region_A,393.52,243.79,120.47,435,6.0,5.98,699.45,583313
2028-07-09,Region_B,483.61,185.24,69.38,186,-8.7,12.53,350.49,878134
2034-05-06,Region_D,450.92,87.86,30.59,358,39.4,8.74,191.48,649000
2028-12-10,Region_D,415.71,216.88,88.4,290,24.5,8.35,171.82,208254
2033-09-16,Region_D,130.23,100.3,82.71,210,28.6,5.66,425.75,151437
2025-02-16,Region_D,352.72,51.13,108.63,52,25.6,9.18,612.55,406229
2023-11-13,Region_D,112.49,243.59,132.41,356,-4.6,2.04,731.28,996890
2048-01-03,Region_C,358.48,30.75,50.81,333,20.9,9.54,143.13,212545
2023-02-28,Region_B,364.19,156.67,73.0,470,1.8,10.77,259.13,99098
2034-05-10,Region_A,155.73,102.02,107.16,342,36.4,14.88,33.58,991888
2043-04-05,Region_D,421.08,104.97,133.14,305,33.5,14.79,853.94,886544
2027-08-04,Region_A,364.85,87.86,56.29,101,27.2,0.83,579.93,210302
2025-04-23,Region_C,488.52,213.13,141.18,423,33.6,12.07,680.11,194056
2034-07-29,Region_D,419.43,129.41,197.68,408,18.5,4.12,515.72,140977
2030-03-26,Region_D,329.72,146.46,94.37,22,33.1,4.97,727.51,536100
2036-02-22,Region_B,220.13,140.01,173.95,425,32.3,13.14,439.3,737349
2038-05-18,Region_B,424.98,117.84,58.64,224,39.6,10.57,713.43,851242
2033-03-09,Region_B,377.14,122.86,44.56,109,17.4,4.74,657.7,305916
2048-07-27,Region_D,471.83,180.7,77.47,18,9.9,10.63,104.2,213275
2049-01-04,Region_A,431.65,290.0,177.22,347,17.5,13.51,652.36,29175
2044-10-21,Region_B,225.5,106.51,58.16,394,38.8,1.41,846.36,125832
2047-04-08,Region_B,288.67,116.75,145.8,477,-8.3,1.66,771.57,889935
2036-08-16,Region_A,440.39,114.39,122.96,55,26.1,14.05,253.41,595962
2047-08-08,Region_D,391.91,15.53,78.03,99,35.1,13.32,153.68,739805
2041-04-25,Region_A,53.43,122.55,66.6,420,2.7,7.06,150.9,271081
2048-10-11,Region_D,95.39,15.3,198.43,162,0.7,2.14,976.91,250531
2035-12-13,Region_A,392.54,17.38,77.03,455,3.1,7.5,415.93,506997
2038-08-19,Region_C,365.3,24.85,151.98,328,-2.6,13.69,713.97,99888
2047-12-04,Region_D,73.82,146.92,158.87,66,-4.9,11.97,472.96,688457
2047-01-21,Region_A,285.86,176.94,165.99,261,26.4,11.2,94.95,38358
2045-03-27,Region_B,317.58,260.31,52.3,168,0.4,10.52,75.59,760303
2030-09-28,Region_B,76.73,199.56,132.67,204,20.0,13.43,587.67,216343
2046-10-15,Region_B,132.09,30.37,154.54,250,-1.6,6.47,249.04,178784
2035-03-04,Region_C,234.6,260.42,59.29,416,-5.3,7.7,588.87,608075
2045-12-02,Region_A,95.25,269.47,20.02,290,-8.5,5.11,857.27,337742
2036-08-12,Region_B,256.58,127.36,48.02,407,38.8,2.27,756.11,291442
2044-01-09,Region_C,180.26,224.06,84.48,306,10.9,3.16,408.56,89491
2028-12-07,Region_B,293.21,199.11,74.16,374,16.6,4.12,605.2,967090
2042-03-01,Region_B,236.92,70.89,72.87,10,0.1,10.19,635.57,360920
2042-09-15,Region_B,162.04,142.24,141.81,200,0.4,4.29,315.59,324152
2034-09-23,Region_D,306.68,96.34,194.31,161,33.5,10.39,38.09,358646
2040-06-30,Region_A,123.62,60.19,66.25,118,-5.8,0.05,698.17,818432
2036-05-16,Region_C,85.17,65.4,101.64,289,26.0,13.07,297.87,118161
2040-03-03,Region_D,139.23,124.88,40.64,438,37.1,14.1,527.43,951700
2034-04-02,Region_B,455.48,16.96,184.04,269,10.1,2.27,741.15,420821
2042-09-04,Region_C,411.15,246.76,37.81,70,29.9,0.89,575.0,183858
2032-09-16,Region_A,141.44,188.22,26.59,186,-3.1,14.4,854.04,487030
2036-02-08,Region_C,257.07,162.92,161.18,461,-5.3,6.17,50.0,412915
2027-02-05,Region_A,230.71,293.19,107.52,321,32.9,14.28,607.35,166678
2047-11-20,Region_D,414.14,51.35,176.25,394,14.6,4.63,989.42,865992
2033-01-29,Region_D,82.56,295.82,154.97,440,29.3,4.66,629.44,611789
2025-10-27,Region_D,52.91,26.03,140.82,266,23.4,13.29,319.65,369768
2031-08-29,Region_A,484.42,214.36,136.86,462,23.2,9.44,107.76,197009
2038-10-06,Region_C,178.5,295.31,129.54,78,1.4,14.4,791.73,394334
2027-05-11,Region_C,139.94,80.38,35.96,290,14.0,2.28,187.03,76776
